target
304
388
447
482
547
581
571
542
461
396
363
293
235
188
146
122
115
94
99
96
101
103
113
115
111
100
102
96
97
97
98
100
107
107
105
104
96
92
87
76
69
62
54
44
39
36
33
29
27
26
24
21
19
17
14
12
10
9
9
9
9
9
9
9
8
9
9
7
6
6
6
8
11
15
18
22
25
28
28
25
22
20
21
18
17
18
20
20
21
22
31
37
39
39
42
45
46
40
38
39
44
44
44
44
45
47
47
44
43
43
42
44
43
46
48
45
47
48
43
42
40
42
45
45
45
48
52
53
53
54
54
56
55
53
49
46
53
51
48
49
52
52
51
41
43
46
46
43
54
57
57
55
53
47
46
34
30
30
31
29
32
30
32
33
33
33
36
38
50
68
102
127
157
192
225
256
280
297
307
312
315
337
343
342
328
326
319
312
276
252
230
211
192
178
162
157
153
149
142
141
137
130
130
123
119
114
108
102
101
97
96
89
90
88
84
85
78
71
73
68
71
77
77
76
74
74
73
77
80
76
80
79
80
84
81
75
76
79
94
95
91
97
101
103
104
98
105
114
111
109
111
111
115
110
113
117
120
124
127
134
150
159
173
192
216
244
269
295
312
319
336
346
380
410
424
441
456
471
489
483
492
505
531
565
586
609
627
636
688
745
760
801
858
907
961
976
985
1015
1013
1015
1011
1036
1047
1029
1012
1037
1031
1029
999
955
910
940
893
863
849
798
772
774
692
667
627
577
554
545
525
516
494
472
455
431
410
392
398
394
415
429
447
436
424
426
424
411
405
390
396
406
382
377
374
381
386
382
375
383
405
430
447
470
482
495
493
479
453
421
399
392
383
386
384
385
389
388
390
399
398
413
416
422
435
445
452
457
445
445
442
438
433
432
436
434
428
426
430
438
441
438
451
463
480
489
494
503
515
521
544
565
582
601
611
627
636
645
645
645
642
650
642
643
643
649
667
685
661
658
671
678
670
649
627
642
639
624
610
595
576
587
581
577
573
567
587
619
616
623
645
647
650
640
614
611
608
596
595
601
599
602
583
568
553
545
542
549
564
595
606
613
613
602
592
572
546
531
519
508
499
489
482
471
467
461
464
479
489
507
533
560
580
609
630
652
680
697
716
746
767
827
900
970
1054
1105
1193
1250
1308
1354
1386
1396
1447
1436
1455
1479
1513
1526
1551
1556
1566
1578
1594
1571
1582
