1st,1stLabel,1stDay,2nd,2ndLabel,2ndDay,3rd,3rdLabel,3rdDay,4th,4thLabel,4thDay,5th,5thLabel,5thDay,6th,6thLabel,6thDay,7th,7thLabel,7thDay
9,0,1,6,0,0,13,0,0,8,-3,1,3,0,0,2,0,1,4,0,1
6,0,0,13,0,0,8,-3,1,3,0,0,2,0,1,4,0,1,12,0,1
13,0,0,8,-3,1,3,0,0,2,0,1,4,0,1,12,0,1,18,0,0
8,-3,1,3,0,0,2,0,1,4,0,1,12,0,1,18,0,0,34,0,0
3,0,0,2,0,1,4,0,1,12,0,1,18,0,0,34,0,0,35,0,1
2,0,1,4,0,1,12,0,1,18,0,0,34,0,0,35,0,1,27,-1,1
4,0,1,12,0,1,18,0,0,34,0,0,35,0,1,27,-1,1,26,-2,1
12,0,1,18,0,0,34,0,0,35,0,1,27,-1,1,26,-2,1,29,0,1
18,0,0,34,0,0,35,0,1,27,-1,1,26,-2,1,29,0,1,27,0,1
34,0,0,35,0,1,27,-1,1,26,-2,1,29,0,1,27,0,1,19,0,0
35,0,1,27,-1,1,26,-2,1,29,0,1,27,0,1,19,0,0,13,-1,0
27,-1,1,26,-2,1,29,0,1,27,0,1,19,0,0,13,-1,0,15,-1,1
26,-2,1,29,0,1,27,0,1,19,0,0,13,-1,0,15,-1,1,13,0,1
29,0,1,27,0,1,19,0,0,13,-1,0,15,-1,1,13,0,1,32,-2,1
27,0,1,19,0,0,13,-1,0,15,-1,1,13,0,1,32,-2,1,12,0,1
19,0,0,13,-1,0,15,-1,1,13,0,1,32,-2,1,12,0,1,20,0,1
13,-1,0,15,-1,1,13,0,1,32,-2,1,12,0,1,20,0,1,23,-1,0
15,-1,1,13,0,1,32,-2,1,12,0,1,20,0,1,23,-1,0,25,-1,0
13,0,1,32,-2,1,12,0,1,20,0,1,23,-1,0,25,-1,0,16,-2,1
32,-2,1,12,0,1,20,0,1,23,-1,0,25,-1,0,16,-2,1,19,0,1
12,0,1,20,0,1,23,-1,0,25,-1,0,16,-2,1,19,0,1,40,2,1
20,0,1,23,-1,0,25,-1,0,16,-2,1,19,0,1,40,2,1,79,0,1
23,-1,0,25,-1,0,16,-2,1,19,0,1,40,2,1,79,0,1,58,0,1
25,-1,0,16,-2,1,19,0,1,40,2,1,79,0,1,58,0,1,39,-2,0
