WEEK_TARGET
4000
1319
713
676
735
437
190
89
63
45
181
131
222
285
318
310
306
341
389
349
326
331
230
271
1576
2360
1938
1099
914
684
548
533
566
555
728
779
892
1712
2664
3385
4395
6355
7080
7207
5946
4042
3190
3008
2836
2672
3133
2949
2724
2958
3096
2982
3363
3959
4519
4544
4690
4168
4114
4484
4194
3846
4146
3428
3424
4568
6305
9483
10592
10998
