집단
집단감염
구멍
붕괴
봉쇄
상향
최악
물러날
폭발
둔감
긴장
본격화
가속
물러설
겉잡
센터
깜깜
고비
비상
무더기
일상
증가
암담
공포
지역확산
우려
네자릿수
대유행
재앙
최다
장기화
최고
여전
유행
이르다
3단계
4단계
추가조치
